,fiscalDateEnding,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,currentRatio,quickRatio,cashRatio,debtToAssetsRatio,debtToEquityRatio,equityRatio,workingCapital,netWorkingCapitalRatio,bookValuePerShare,insights,totalAssets_prev,totalCurrentAssets_prev,cashAndCashEquivalentsAtCarryingValue_prev,cashAndShortTermInvestments_prev,inventory_prev,currentNetReceivables_prev,totalNonCurrentAssets_prev,propertyPlantEquipment_prev,accumulatedDepreciationAmortizationPPE_prev,intangibleAssets_prev,intangibleAssetsExcludingGoodwill_prev,goodwill_prev,investments_prev,longTermInvestments_prev,shortTermInvestments_prev,otherCurrentAssets_prev,otherNonCurrentAssets_prev,totalLiabilities_prev,totalCurrentLiabilities_prev,currentAccountsPayable_prev,deferredRevenue_prev,currentDebt_prev,shortTermDebt_prev,totalNonCurrentLiabilities_prev,capitalLeaseObligations_prev,longTermDebt_prev,currentLongTermDebt_prev,longTermDebtNoncurrent_prev,shortLongTermDebtTotal_prev,otherCurrentLiabilities_prev,otherNonCurrentLiabilities_prev,totalShareholderEquity_prev,treasuryStock_prev,retainedEarnings_prev,commonStock_prev,commonStockSharesOutstanding_prev,currentRatio_prev,quickRatio_prev,cashRatio_prev,debtToAssetsRatio_prev,debtToEquityRatio_prev,equityRatio_prev,workingCapital_prev,netWorkingCapitalRatio_prev,bookValuePerShare_prev
0,2024,512163000000,159734000000,18315000000,75543000000,1246000000,56924000000.0,357329000000,135591000000,76421000000,146817000000,27597000000,119220000000,6180000000.0,14600000000,57228000000,26021000000,36460000000,243686000000,125286000000,21996000000,120368000000.0,8942000000.0,6693000000,118400000000,15497000000.0,44937000000,2249000000.0,42688000000,51630000000,19185000000,27064000000,268477000000,0.0,173144000000,100923000000,7434000000,1.2749549031815206,1.2650096579027186,0.14618552751305014,0.47579774407756903,0.9076606189729474,0.524202255922431,34448000000,0.06725983720026632,36.11474307237019,"In 2024, the current ratio was 1.27, which suggests the company has adequate but not excessive liquidity. The quick ratio in 2024 was 1.27, indicating good short-term financial health without dependence on inventory. The cash ratio in 2024 was 0.15, suggesting limited cash available to cover short-term liabilities. The debt-to-assets ratio in 2024 was 0.48, suggesting a lower risk of asset-based debt dependency. In 2024, the debt-to-equity ratio was 0.91, indicating low leverage and potentially low risk. The equity ratio in 2024 was 0.52, suggesting that more than half of the company's assets are financed by equity, indicating financial stability. The working capital in 2024 was 34448000000.00, indicating the company's ability to cover short-term liabilities. The net working capital ratio in 2024 was 0.07, suggesting limited working capital relative to the company's total assets. The book value per share in 2024 was 36.11, providing an indication of the per-share equity value available to shareholders.",-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,0,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,0,-2147483648,-2147483648,-2147483648,1,1,0,0,0,0,-2147483648,0,27
1,2023,411976000000,184257000000,34704000000,111262000000,2500000000,48688000000.0,232219000000,95641000000,68251000000,77252000000,9366000000,67886000000,95599000000.0,9879000000,76558000000,21807000000,30601000000,205753000000,104149000000,18095000000,107626000000.0,5247000000.0,0,101604000000,12728000000.0,47237000000,5247000000.0,41990000000,47237000000,14745000000,17981000000,206223000000,0.0,118848000000,93718000000,7432000000,1.76916725076573,1.745163179675273,0.3332149132492871,0.499429578422044,0.9977209137681055,0.500570421577956,80108000000,0.1944482202846768,27.7479817007535,"In 2023, the current ratio was 1.77, which suggests the company has adequate but not excessive liquidity. The quick ratio in 2023 was 1.75, indicating good short-term financial health without dependence on inventory. The cash ratio in 2023 was 0.33, suggesting limited cash available to cover short-term liabilities. The debt-to-assets ratio in 2023 was 0.50, suggesting a lower risk of asset-based debt dependency. In 2023, the debt-to-equity ratio was 1.00, indicating low leverage and potentially low risk. The equity ratio in 2023 was 0.50, suggesting that more than half of the company's assets are financed by equity, indicating financial stability. The working capital in 2023 was 80108000000.00, indicating the company's ability to cover short-term liabilities. The net working capital ratio in 2023 was 0.19, indicating adequate working capital relative to the company's total assets. The book value per share in 2023 was 27.75, providing an indication of the per-share equity value available to shareholders.",-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,0,-2147483648,-2147483648,-2147483648,1,1,0,0,1,0,-2147483648,0,22
2,2022,364840000000,169684000000,13931000000,104757000000,3742000000,45261000000.0,198956000000,74398000000,59660000000,78822000000,11298000000,67524000000,95583000000.0,6891000000,90826000000,16924000000,21897000000,198298000000,95082000000,19000000000,96816000000.0,2749000000.0,2749000000,103216000000,11489000000.0,49781000000,2749000000.0,47032000000,49781000000,13067000000,15526000000,166542000000,0.0,84281000000,86939000000,7464000000,1.7846069708251824,1.7452514671546664,0.14651563913253823,0.5435204473193729,1.1906786276134549,0.4564795526806271,74602000000,0.20447867558381758,22.312700964630224,"In 2022, the current ratio was 1.78, which suggests the company has adequate but not excessive liquidity. The quick ratio in 2022 was 1.75, indicating good short-term financial health without dependence on inventory. The cash ratio in 2022 was 0.15, suggesting limited cash available to cover short-term liabilities. The company's debt-to-assets ratio in 2022 was 0.54, indicating a higher portion of assets financed by debt. In 2022, the debt-to-equity ratio was 1.19, indicating moderate leverage. The equity ratio in 2022 was 0.46, which may indicate a higher reliance on debt financing. The working capital in 2022 was 74602000000.00, indicating the company's ability to cover short-term liabilities. The net working capital ratio in 2022 was 0.20, indicating adequate working capital relative to the company's total assets. The book value per share in 2022 was 22.31, providing an indication of the per-share equity value available to shareholders.",-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,0,-2147483648,-2147483648,-2147483648,2,2,0,0,1,0,-2147483648,0,18
3,2021,333779000000,184406000000,14224000000,130334000000,2636000000,39008000000.0,152773000000,59715000000,51351000000,57511000000,7800000000,49711000000,122266000000.0,5984000000,116110000000,13393000000,15075000000,191791000000,88657000000,15163000000,88282000000.0,8072000000.0,8072000000,103134000000,9629000000.0,58146000000,8072000000.0,50074000000,58146000000,11666000000,13427000000,141988000000,0.0,57055000000,83111000000,7519000000,2.0799936835218875,2.0502611186933914,0.1604385440517951,0.5746047534446445,1.3507549933797223,0.4253952465553555,95749000000,0.2868634635492347,18.88389413485836,"In 2021, the current ratio was 2.08, indicating strong liquidity. The quick ratio in 2021 was 2.05, indicating good short-term financial health without dependence on inventory. The cash ratio in 2021 was 0.16, suggesting limited cash available to cover short-term liabilities. The company's debt-to-assets ratio in 2021 was 0.57, indicating a higher portion of assets financed by debt. In 2021, the debt-to-equity ratio was 1.35, indicating moderate leverage. The equity ratio in 2021 was 0.43, which may indicate a higher reliance on debt financing. The working capital in 2021 was 95749000000.00, indicating the company's ability to cover short-term liabilities. The net working capital ratio in 2021 was 0.29, indicating adequate working capital relative to the company's total assets. The book value per share in 2021 was 18.88, providing an indication of the per-share equity value available to shareholders.",-2147483648,-2147483648,-2147483648,-2147483648,1895000000,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,0,-2147483648,-2147483648,-2147483648,2,2,0,0,1,0,-2147483648,0,15
4,2020,301311000000,181915000000,13576000000,136527000000,1895000000,32011000000.0,122096000000,44151000000,43197000000,50389000000,7038000000,43351000000,130044000000.0,2965000000,122951000000,11482000000,13138000000,183007000000,72310000000,12530000000,78360000000.0,3749000000.0,3749000000,110697000000,7671000000.0,63327000000,3749000000.0,59578000000,63327000000,10027000000,10632000000,118304000000,0.0,34566000000,80552000000,7571000000,2.5157654542940118,2.489558843866685,0.18774719955746094,0.6073691302342098,1.5469214903976196,0.39263086976579015,109605000000,0.3637603671953563,15.625941091005151,"In 2020, the current ratio was 2.52, indicating strong liquidity. The quick ratio in 2020 was 2.49, indicating good short-term financial health without dependence on inventory. The cash ratio in 2020 was 0.19, suggesting limited cash available to cover short-term liabilities. The company's debt-to-assets ratio in 2020 was 0.61, indicating a higher portion of assets financed by debt. In 2020, the debt-to-equity ratio was 1.55, indicating moderate leverage. The equity ratio in 2020 was 0.39, which may indicate a higher reliance on debt financing. The working capital in 2020 was 109605000000.00, indicating the company's ability to cover short-term liabilities. The net working capital ratio in 2020 was 0.36, indicating adequate working capital relative to the company's total assets. The book value per share in 2020 was 15.63, providing an indication of the per-share equity value available to shareholders.",-2147483648,-2147483648,-2147483648,-2147483648,2063000000,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,0,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,0,-2147483648,-2147483648,-2147483648,2,2,0,0,1,0,-2147483648,0,13
5,2019,286556000000,175552000000,11356000000,133819000000,2063000000,29524000000.0,105825000000,36477000000,35330000000,49776000000,7750000000,42026000000,129789000000.0,2649000000,122463000000,10146000000,14723000000,184226000000,69420000000,9382000000,74412000000.0,5516000000.0,0,108618000000,6188000000.0,72178000000,5516000000.0,66662000000,72200000000,9351000000,7581000000,102330000000,0.0,24150000000,78520000000,7643000000,2.5288389513108616,2.4991212906943243,0.16358398156150966,0.6428970253632798,1.8003127137691781,0.35710297463672025,106132000000,0.3703708873658203,13.388721706136334,"In 2019, the current ratio was 2.53, indicating strong liquidity. The quick ratio in 2019 was 2.50, indicating good short-term financial health without dependence on inventory. The cash ratio in 2019 was 0.16, suggesting limited cash available to cover short-term liabilities. The company's debt-to-assets ratio in 2019 was 0.64, indicating a higher portion of assets financed by debt. In 2019, the debt-to-equity ratio was 1.80, indicating moderate leverage. The equity ratio in 2019 was 0.36, which may indicate a higher reliance on debt financing. The working capital in 2019 was 106132000000.00, indicating the company's ability to cover short-term liabilities. The net working capital ratio in 2019 was 0.37, indicating adequate working capital relative to the company's total assets. The book value per share in 2019 was 13.39, providing an indication of the per-share equity value available to shareholders.",-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,1862000000,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,0,-2147483648,0,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,0,-2147483648,-2147483648,-2147483648,2,2,0,0,2,0,-2147483648,0,10
6,2018,258848000000,169662000000,11946000000,133768000000,2662000000,26481000000.0,84300000000,29460000000,29223000000,43736000000,8053000000,35683000000,129579000000.0,1862000000,121822000000,6751000000,7442000000,176130000000,58488000000,8617000000,0.0,3998000000.0,0,112074000000,5568000000.0,76200000000,3998000000.0,72242000000,76200000000,8744000000,5211000000,82718000000,0.0,13682000000,71223000000,7677000000,2.900800164136233,2.8552865545069075,0.20424702503077555,0.6804379404129064,2.1292826228874007,0.3195620595870936,111174000000,0.42949530226233157,10.77478181581347,"In 2018, the current ratio was 2.90, indicating strong liquidity. The quick ratio in 2018 was 2.86, indicating good short-term financial health without dependence on inventory. The cash ratio in 2018 was 0.20, suggesting limited cash available to cover short-term liabilities. The company's debt-to-assets ratio in 2018 was 0.68, indicating a higher portion of assets financed by debt. In 2018, the debt-to-equity ratio was 2.13, indicating high leverage which may increase financial risk. The equity ratio in 2018 was 0.32, which may indicate a higher reliance on debt financing. The working capital in 2018 was 111174000000.00, indicating the company's ability to cover short-term liabilities. The net working capital ratio in 2018 was 0.43, indicating adequate working capital relative to the company's total assets. The book value per share in 2018 was 10.77, providing an indication of the per-share equity value available to shareholders.",-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,0,-2147483648,1049000000,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,0,-2147483648,-2147483648,-2147483648,2,2,0,0,1,0,-2147483648,0,11
